YEAR,MONTH,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1
2016,1,Austria,12006,11965,23971
2016,1,Belgium,11958,11967,23925
2016,1,Bulgaria,1796,1799,3595
2016,1,Croatia,1413,1411,2824
2016,1,Cyprus,1471,1477,2948
2016,1,Czech Republic,4803,4827,9630
2016,1,Denmark,9662,9647,19309
2016,1,Estonia,1359,1362,2721
2016,1,Finland,6493,6491,12984
2016,1,France,62052,62115,124167
2016,1,Germany,70553,70559,141112
2016,1,Greece,9363,9404,18767
2016,1,Hungary,3310,3303,6613
2016,1,Ireland,9381,9394,18775
2016,1,Italy,38802,38771,77573
2016,1,Latvia,2549,2557,5106
2016,1,Lithuania,1840,1851,3691
2016,1,Luxembourg,2222,2217,4439
2016,1,Malta,1194,1204,2398
2016,1,Netherlands,18349,18337,36686
2016,1,Poland,12148,12157,24305
2016,1,Portugal,11803,11759,23562
2016,1,Romania,3924,3915,7839
2016,1,Slovakia,627,633,1260
2016,1,Slovenia,938,951,1889
2016,1,Spain,58301,58269,116570
2016,1,Sweden,12774,12754,25528
2016,2,Austria,12024,12047,24071
2016,2,Belgium,12276,12274,24550
2016,2,Bulgaria,1677,1679,3356
2016,2,Croatia,1370,1367,2737
2016,2,Cyprus,1397,1406,2803
2016,2,Czech Republic,4658,4666,9324
2016,2,Denmark,9876,9884,19760
2016,2,Estonia,1376,1374,2750
2016,2,Finland,6660,6663,13323
2016,2,France,63315,63378,126693
2016,2,Germany,72165,72346,144511
2016,2,Greece,8915,8931,17846
2016,2,Hungary,3192,3185,6377
2016,2,Ireland,9145,9164,18309
2016,2,Italy,38316,38283,76599
2016,2,Latvia,2317,2311,4628
2016,2,Lithuania,1723,1719,3442
2016,2,Luxembourg,2253,2274,4527
2016,2,Malta,1198,1208,2406
2016,2,Netherlands,18543,18568,37111
2016,2,Poland,11896,11916,23812
2016,2,Portugal,11101,11097,22198
2016,2,Romania,3882,3875,7757
2016,2,Slovakia,700,705,1405
2016,2,Slovenia,975,975,1950
2016,2,Spain,58138,58091,116229
2016,2,Sweden,13814,13827,27641
2016,3,Austria,13501,13513,27014
2016,3,Belgium,11741,11739,23480
2016,3,Bulgaria,1799,1804,3603
2016,3,Croatia,1563,1558,3121
2016,3,Cyprus,1880,1884,3764
2016,3,Czech Republic,5443,5439,10882
2016,3,Denmark,10831,10840,21671
2016,3,Estonia,1544,1542,3086
2016,3,Finland,7135,7130,14265
2016,3,France,70051,70144,140195
2016,3,Germany,79824,79991,159815
2016,3,Greece,10368,10388,20756
2016,3,Hungary,3732,3731,7463
2016,3,Ireland,10556,10566,21122
2016,3,Italy,43306,43343,86649
2016,3,Latvia,2658,2655,5313
2016,3,Lithuania,1951,1953,3904
2016,3,Luxembourg,2652,2650,5302
2016,3,Malta,1484,1492,2976
2016,3,Netherlands,21061,21077,42138
2016,3,Poland,13249,13244,26493
2016,3,Portugal,12915,12870,25785
2016,3,Romania,4297,4284,8581
2016,3,Slovakia,716,713,1429
