Countries,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,pop_change_2012-2013,pop_change_2013-2014,pop_change_2014-2015,pop_change_2015-2016,pop_change_2016-2017,pop_change_2017-2018,pop_change_2018-2019,pop_change_2019-2020,pop_change_2020-2021,pop_change_2021-2022,pop_change_2022-2023
Germany,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,84358845,0.0024380819117641567,0.003026647568035397,0.0053248422573332534,0.012046510721131849,0.004210114028378517,0.0032803269221958024,0.002740132358362429,0.0017766730696423248,-0.0001404408068992893,0.000987228301315888,0.013476210446675211
Austria,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772,0.005201994595463125,0.00661700501428088,0.009066988755946612,0.013459056024478253,0.00832069895986091,0.00563122765481972,0.004138165394450202,0.0047736848492031915,0.003550137376834949,0.0051793059718802815,0.014015368648087093
Belgium,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11742796,0.0056054191225643375,0.0038486353083603893,0.005047384632997163,0.006571255626587017,0.0035902731799167136,0.004128182434267491,0.004994477825281708,0.005841813016066753,0.0028055689593523593,0.005439832754740965,0.01077440712269627
Bulgaria,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937,6447710,-0.005823760813099204,-0.005336635664073782,-0.006000681509816129,-0.006722114554473509,-0.007258396395529974,-0.007297385093114352,-0.0070914551617765244,-0.006936675638521442,-0.0050254032161775,-0.01122105998541469,-0.05720582014427096
Cyprus,862011,865878,858000,847008,848319,854802,864236,875899,888005,896007,904705,920701,0.00448602164009508,-0.009098279434285199,-0.012811188811188812,0.0015478012014054176,0.007642172343186938,0.011036473943673505,0.0134951564156087,0.013821228246635743,0.009011210522463274,0.009707513445765491,0.01768090150933177
Croatia,4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3862305,3850894,-0.0032376173531051566,-0.003597019337703595,-0.005060976370729176,-0.00819986008147083,-0.008699327004829062,-0.01172785314571015,-0.007123870385359323,-0.004435698924942214,-0.005374350229722054,-0.04312058775801435,-0.002954453363988603
Denmark,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654,0.00396235760277365,0.00439204601840422,0.005771928842495471,0.008399009490760577,0.007274605585070641,0.005639642156433838,0.004305514954533582,0.002873194500731216,0.0029680067692949208,0.005714853224589879,0.010085095225609611
Slovakia,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792,0.0012053315846095032,0.0009449556408658477,0.0009970551790646478,0.0009043874504297731,0.00167537372020319,0.0014308204652401881,0.0013413262981525301,0.001367233833863476,0.0003495867346125496,-0.004591576109005104,-0.0010892941521096241
Slovenia,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116972,0.0016176144346668638,0.0010996584938661497,0.0008679894327502262,0.000636975404217611,0.0008269595598850492,0.0004767909308072288,0.0067870413376683696,0.007185805427246183,0.0062580486015055385,-0.0008520718812960028,0.004646968934784878
Spain,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893,48085361,-0.001929355749307764,-0.004615894276416076,-0.0013466144655942841,-0.0002037909289355024,0.0018932991508049972,0.0028031063601583425,0.0059713303359625325,0.00842732800051814,0.0013960986815560197,0.000721496657239192,0.013755602046031642
