FLT_DATE,APT_ICAO,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1
1/1/2020,LATI,Albania,34,34,68
1/1/2020,UDYZ,Armenia,37,35,72
1/1/2020,LOWG,Austria,8,10,18
1/1/2020,LOWI,Austria,19,21,40
1/1/2020,LOWK,Austria,6,5,11
1/1/2020,LOWL,Austria,1,4,5
1/1/2020,LOWS,Austria,22,22,44
1/1/2020,LOWW,Austria,283,255,538
1/1/2020,EBAW,Belgium,5,6,11
1/1/2020,EBBR,Belgium,202,193,395
1/1/2020,EBCI,Belgium,63,64,127
1/1/2020,EBLG,Belgium,9,11,20
1/1/2020,EBOS,Belgium,6,5,11
1/1/2020,LQSA,Bosnia and Herzegovina,10,10,20
1/1/2020,LBSF,Bulgaria,60,59,119
1/1/2020,LDZA,Croatia,38,37,75
1/1/2020,LCLK,Cyprus,42,43,85
1/1/2020,LCPH,Cyprus,27,27,54
1/1/2020,LKKV,Czech Republic,2,1,3
1/1/2020,LKPR,Czech Republic,154,152,306
1/1/2020,LKTB,Czech Republic,1,1,2
1/1/2020,EKCH,Denmark,230,221,451
1/1/2020,EETN,Estonia,42,45,87
1/1/2020,EETU,Estonia,0,1,1
1/1/2020,EFHK,Finland,210,196,406
1/1/2020,LFBD,France,68,67,135
1/1/2020,LFBE,France,2,2,4
1/1/2020,LFBI,France,1,1,2
1/1/2020,LFBL,France,3,3,6
1/1/2020,LFBO,France,85,88,173
1/1/2020,LFBP,France,8,8,16
1/1/2020,LFBT,France,4,4,8
1/1/2020,LFBZ,France,8,9,17
1/1/2020,LFCR,France,1,1,2
1/1/2020,LFJL,France,3,5,8
1/1/2020,LFKB,France,12,12,24
1/1/2020,LFKC,France,4,4,8
1/1/2020,LFKF,France,5,5,10
1/1/2020,LFKJ,France,10,10,20
1/1/2020,LFLB,France,6,10,16
1/1/2020,LFLC,France,7,8,15
1/1/2020,LFLI,France,1,0,1
1/1/2020,LFLL,France,103,106,209
1/1/2020,LFLP,France,3,1,4
1/1/2020,LFLS,France,4,4,8
1/1/2020,LFLY,France,3,2,5
1/1/2020,LFMD,France,3,5,8
1/1/2020,LFMK,France,3,3,6
1/1/2020,LFML,France,92,93,185
1/1/2020,LFMN,France,134,129,263
1/1/2020,LFMP,France,4,5,9
1/1/2020,LFMT,France,22,21,43
1/1/2020,LFMU,France,3,3,6
1/1/2020,LFOB,France,35,35,70
1/1/2020,LFOH,France,1,0,1
1/1/2020,LFOK,France,2,2,4
1/1/2020,LFOT,France,2,2,4
1/1/2020,LFPB,France,21,23,44
1/1/2020,LFPG,France,576,560,1136
1/1/2020,LFPN,France,1,1,2
1/1/2020,LFPO,France,254,240,494
1/1/2020,LFQQ,France,21,20,41
1/1/2020,LFRB,France,12,12,24
1/1/2020,LFRD,France,1,0,1
1/1/2020,LFRG,France,0,1,1
1/1/2020,LFRH,France,4,4,8
1/1/2020,LFRK,France,1,0,1
1/1/2020,LFRN,France,12,13,25
1/1/2020,LFRQ,France,1,2,3
1/1/2020,LFRS,France,59,62,121
1/1/2020,LFRZ,France,0,2,2
1/1/2020,LFSB,France,83,86,169
1/1/2020,LFST,France,16,15,31
1/1/2020,LFTH,France,6,6,12
1/1/2020,LFTW,France,1,1,2
1/1/2020,UGTB,Georgia,23,24,47
1/1/2020,EDDB,Germany,95,95,190
1/1/2020,EDDC,Germany,13,12,25
1/1/2020,EDDF,Germany,423,355,778
1/1/2020,EDDG,Germany,5,5,10
1/1/2020,EDDH,Germany,110,116,226
1/1/2020,EDDK,Germany,90,89,179
1/1/2020,EDDL,Germany,188,190,378
1/1/2020,EDDM,Germany,328,292,620
1/1/2020,EDDN,Germany,39,43,82
1/1/2020,EDDP,Germany,29,38,67
1/1/2020,EDDR,Germany,3,4,7
1/1/2020,EDDS,Germany,87,90,177
1/1/2020,EDDT,Germany,183,188,371
1/1/2020,EDDV,Germany,40,45,85
1/1/2020,EDDW,Germany,20,21,41
1/1/2020,LGAV,Greece,213,206,419
1/1/2020,LGIR,Greece,15,15,30
1/1/2020,LGKF,Greece,2,2,4
1/1/2020,LGKO,Greece,5,5,10
1/1/2020,LGKR,Greece,8,7,15
1/1/2020,LGMK,Greece,4,4,8
1/1/2020,LGRP,Greece,7,6,13
1/1/2020,LGSA,Greece,10,13,23
1/1/2020,LGSR,Greece,5,6,11
1/1/2020,LGTS,Greece,39,39,78
1/1/2020,LGZA,Greece,1,1,2
1/1/2020,LHBP,Hungary,144,141,285
1/1/2020,EICK,Ireland,27,26,53
1/1/2020,EIDL,Ireland,1,2,3
1/1/2020,EIDW,Ireland,254,253,507
1/1/2020,EIKN,Ireland,8,7,15
1/1/2020,EIKY,Ireland,2,3,5
1/1/2020,EINN,Ireland,13,14,27
1/1/2020,LLBG,Israel,204,192,396
1/1/2020,LIBR,Italy,17,20,37
1/1/2020,LICC,Italy,78,79,157
1/1/2020,LIMC,Italy,234,240,474
1/1/2020,LIME,Italy,106,107,213
1/1/2020,LIMF,Italy,39,44,83
1/1/2020,LIML,Italy,124,120,244
1/1/2020,LIPE,Italy,76,77,153
1/1/2020,LIPH,Italy,24,23,47
1/1/2020,LIPZ,Italy,90,96,186
