YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC
2010,1,AUSTRIA,171535.23,14972
2010,1,BELGIUM,309092.82,11546
2010,1,BULGARIA,34760.88,2177
2010,1,CROATIA,12141.85,1956
2010,1,CYPRUS,47704.34,1789
2010,1,DENMARK,184601.73,12996
2010,1,FINLAND,160290.69,10592
2010,1,FRANCE,1467158.58,68257
2010,1,GERMANY,2067437.03,80421
2010,1,GREECE,142515.5,14377
2010,1,HUNGARY,48575.84,3851
2010,1,IRELAND,150363.83,8920
2010,1,ITALY,899660.53,60178
2010,1,LITHUANIA,12874.97,1414
2010,1,LUXEMBOURG,89324.88,1916
2010,1,MALTA,16447.51,909
2010,1,NETHERLANDS,718585.19,18317
2010,1,POLAND,107673.58,10530
2010,1,PORTUGAL,226468.51,10881
2010,1,ROMANIA,64663.55,6182
2010,1,SLOVAKIA,9049.32,1291
2010,1,SLOVENIA,7481.52,1308
2010,1,SPAIN,940913.46,52687
2010,1,SWEDEN,201565.85,18178
2010,2,AUSTRIA,157908.07,14307
2010,2,BELGIUM,296550.8,11404
2010,2,BULGARIA,27457.12,1964
2010,2,CROATIA,10904.56,1783
2010,2,CYPRUS,43851.89,1620
2010,2,DENMARK,176059.29,13106
2010,2,FINLAND,149032.86,11028
2010,2,FRANCE,1322141.96,65510
2010,2,GERMANY,1894780.33,80004
2010,2,GREECE,121075.5,12138
2010,2,HUNGARY,44322.04,3662
2010,2,IRELAND,134731.07,8518
2010,2,ITALY,815751.94,57901
2010,2,LITHUANIA,12228.33,1389
2010,2,LUXEMBOURG,89562.61,1914
2010,2,MALTA,14674.22,823
2010,2,NETHERLANDS,652994.27,18106
2010,2,POLAND,99531.67,10140
2010,2,PORTUGAL,201179.89,9971
2010,2,ROMANIA,59045.26,5854
2010,2,SLOVAKIA,8202.34,1191
2010,2,SLOVENIA,6999.29,1231
2010,2,SPAIN,876956.53,52810
2010,2,SWEDEN,198829.32,20050
2010,3,AUSTRIA,178533.13,16547
2010,3,BELGIUM,343344.38,13509
2010,3,BULGARIA,30412.44,2201
2010,3,CROATIA,14382.41,2186
2010,3,CYPRUS,58812.4,2134
2010,3,DENMARK,200271.0,15481
2010,3,FINLAND,171467.11,12526
2010,3,FRANCE,1556602.47,82478
2010,3,GERMANY,2307261.06,98446
2010,3,GREECE,147184.61,14730
2010,3,HUNGARY,55853.24,4452
2010,3,IRELAND,161997.3,9831
2010,3,ITALY,954000.92,68340
2010,3,LITHUANIA,16018.59,1684
2010,3,LUXEMBOURG,100978.65,2279
2010,3,MALTA,19354.71,1018
2010,3,NETHERLANDS,747928.7,22367
2010,3,POLAND,122098.84,12035
2010,3,PORTUGAL,235014.08,11664
2010,3,ROMANIA,67187.0,6948
2010,3,SLOVAKIA,8732.43,1365
2010,3,SLOVENIA,7967.11,1520
2010,3,SPAIN,1030351.45,61548
2010,3,SWEDEN,232268.7,23782
2010,4,AUSTRIA,168227.28,14177
2010,4,BELGIUM,284626.4,11033
2010,4,BULGARIA,30851.69,2098
2010,4,CROATIA,20387.3,2609
2010,4,CYPRUS,67261.34,2340
2010,4,DENMARK,160932.06,11709
2010,4,FINLAND,123628.73,8811
2010,4,FRANCE,1416960.0,72001
2010,4,GERMANY,1964997.84,79768
2010,4,GREECE,182136.14,16357
2010,4,HUNGARY,51470.77,4107
2010,4,IRELAND,130188.62,7747
2010,4,ITALY,930763.92,65447
2010,4,LITHUANIA,14250.39,1498
2010,4,LUXEMBOURG,91674.93,1963
2010,4,MALTA,24011.92,1274
2010,4,NETHERLANDS,658222.88,19627
2010,4,POLAND,110356.99,10028
2010,4,PORTUGAL,261426.47,12398
2010,4,ROMANIA,65804.33,6671
2010,4,SLOVAKIA,8535.84,1177
2010,4,SLOVENIA,6601.72,1082
2010,4,SPAIN,1143950.2,64157
2010,4,SWEDEN,178956.48,16803
2010,5,AUSTRIA,199480.48,16877
2010,5,BELGIUM,350393.69,14142
2010,5,BULGARIA,44699.7,2930
2010,5,CROATIA,36060.96,3958
2010,5,CYPRUS,98539.36,3149
2010,5,DENMARK,211545.85,15706
2010,5,FINLAND,161189.12,12222
2010,5,FRANCE,1681384.45,86887
2010,5,GERMANY,2488474.25,104083
2010,5,GREECE,323494.11,21055
2010,5,HUNGARY,61226.89,4848
2010,5,IRELAND,166328.38,9938
2010,5,ITALY,1087672.13,77766
2010,5,LITHUANIA,18205.29,1882
2010,5,LUXEMBOURG,112354.69,2381
2010,5,MALTA,29399.59,1558
2010,5,NETHERLANDS,824625.39,24407
2010,5,POLAND,146602.69,13077
2010,5,PORTUGAL,280359.86,13445
2010,5,ROMANIA,83608.66,7635
2010,5,SLOVAKIA,10597.35,1452
2010,5,SLOVENIA,10513.25,1677
2010,5,SPAIN,1274947.2,72914
2010,5,SWEDEN,236221.03,22799
2010,6,AUSTRIA,200717.59,17435
2010,6,BELGIUM,347029.79,14506
2010,6,BULGARIA,71285.88,4283
2010,6,CROATIA,46583.55,4521
2010,6,CYPRUS,99553.16,3185
2010,6,DENMARK,226060.68,16822
2010,6,FINLAND,166824.04,12018
2010,6,FRANCE,1686963.52,89888
2010,6,GERMANY,2457469.22,106474
2010,6,GREECE,395641.78,24242
2010,6,HUNGARY,65325.86,5154
2010,6,IRELAND,190386.24,10958
2010,6,ITALY,1132813.94,81590
2010,6,LITHUANIA,18406.66,1827
2010,6,LUXEMBOURG,99107.07,2467
2010,6,MALTA,30300.82,1635
2010,6,NETHERLANDS,814180.13,24929
2010,6,POLAND,173032.12,14287
2010,6,PORTUGAL,293490.64,14050
2010,6,ROMANIA,86971.54,8029
2010,6,SLOVAKIA,16506.93,1814
2010,6,SLOVENIA,12356.21,1747
2010,6,SPAIN,1320996.86,74839
2010,6,SWEDEN,243869.87,23016
2010,7,AUSTRIA,208427.09,17583
2010,7,BELGIUM,374229.42,14640
2010,7,BULGARIA,87782.77,5190
2010,7,CROATIA,58511.42,5637
2010,7,CYPRUS,104990.42,3386
2010,7,DENMARK,241492.61,15474
2010,7,FINLAND,160366.03,9335
2010,7,FRANCE,1864305.81,91747
2010,7,GERMANY,2588814.72,106493
2010,7,GREECE,457339.91,27705
2010,7,HUNGARY,70631.8,5595
2010,7,IRELAND,209430.62,11794
2010,7,ITALY,1235128.44,89431
2010,7,LITHUANIA,19118.65,1777
2010,7,LUXEMBOURG,99177.88,2451
2010,7,MALTA,32924.58,1777
2010,7,NETHERLANDS,893929.24,25494
2010,7,POLAND,183166.34,14333
2010,7,PORTUGAL,332494.16,15893
2010,7,ROMANIA,93140.81,8307
2010,7,SLOVAKIA,18335.99,1942
2010,7,SLOVENIA,13947.3,1818
2010,7,SPAIN,1476462.69,81474
2010,7,SWEDEN,223320.41,17092
2010,8,AUSTRIA,202127.03,17043
2010,8,BELGIUM,366957.79,13982
2010,8,BULGARIA,90372.41,5226
2010,8,CROATIA,59130.11,5693
2010,8,CYPRUS,106437.11,3506
2010,8,DENMARK,236138.0,16180
2010,8,FINLAND,163478.54,11275
2010,8,FRANCE,1831038.71,84359
2010,8,GERMANY,2578898.05,102472
2010,8,GREECE,465990.36,28779
2010,8,HUNGARY,72030.43,5454
2010,8,IRELAND,199790.17,11386
2010,8,ITALY,1248727.82,85540
2010,8,LITHUANIA,18316.75,1733
2010,8,LUXEMBOURG,99675.31,2290
2010,8,MALTA,33429.42,1816
2010,8,NETHERLANDS,883884.76,24682
2010,8,POLAND,177202.06,14087
2010,8,PORTUGAL,335918.37,16165
2010,8,ROMANIA,90308.28,8167
2010,8,SLOVAKIA,17976.43,1833
2010,8,SLOVENIA,14471.71,1862
2010,8,SPAIN,1476005.97,79200
2010,8,SWEDEN,236326.41,20978
2010,9,AUSTRIA,198899.61,17281
2010,9,BELGIUM,352676.26,14426
2010,9,BULGARIA,68113.12,3964
2010,9,CROATIA,46860.92,4526
2010,9,CYPRUS,99273.25,3151
2010,9,DENMARK,218174.48,16517
2010,9,FINLAND,169918.17,12776
2010,9,FRANCE,1682660.36,86800
2010,9,GERMANY,2521837.32,108058
2010,9,GREECE,391073.36,24008
2010,9,HUNGARY,66980.66,5301
2010,9,IRELAND,182294.35,10698
2010,9,ITALY,1148608.51,81322
2010,9,LITHUANIA,16178.13,1675
2010,9,LUXEMBOURG,97492.46,2388
2010,9,MALTA,31749.93,1721
2010,9,NETHERLANDS,829704.97,23957
2010,9,POLAND,166098.2,13743
2010,9,PORTUGAL,300648.47,14187
2010,9,ROMANIA,86069.85,7982
2010,9,SLOVAKIA,15878.04,1730
2010,9,SLOVENIA,13242.77,1806
2010,9,SPAIN,1340504.05,73987
2010,9,SWEDEN,252233.17,24828
2010,10,AUSTRIA,194654.41,16887
2010,10,BELGIUM,366952.06,14484
2010,10,BULGARIA,44630.95,2705
2010,10,CROATIA,28795.5,3340
2010,10,CYPRUS,101206.0,3232
2010,10,DENMARK,227833.95,16311
2010,10,FINLAND,177092.96,12633
2010,10,FRANCE,1671272.32,82909
2010,10,GERMANY,2587676.07,108125
2010,10,GREECE,275816.21,18943
2010,10,HUNGARY,62700.37,5028
2010,10,IRELAND,177464.02,10539
2010,10,ITALY,1081340.54,75683
2010,10,LITHUANIA,15295.73,1623
2010,10,LUXEMBOURG,106798.0,2472
2010,10,MALTA,30015.28,1607
2010,10,NETHERLANDS,854988.35,24248
2010,10,POLAND,143583.98,13190
2010,10,PORTUGAL,281408.34,13684
2010,10,ROMANIA,77127.78,7334
2010,10,SLOVAKIA,11328.36,1525
2010,10,SLOVENIA,10597.29,1652
2010,10,SPAIN,1286812.37,71935
2010,10,SWEDEN,252929.84,24441
2010,11,AUSTRIA,175300.3,15295
2010,11,BELGIUM,343760.81,12844
2010,11,BULGARIA,30370.47,2196
2010,11,CROATIA,13401.07,2058
2010,11,CYPRUS,59631.8,2083
2010,11,DENMARK,192477.55,14598
2010,11,FINLAND,167054.21,12592
2010,11,FRANCE,1518139.56,74881
2010,11,GERMANY,2298123.06,94790
