YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC,FUEL_CONSUMPTION_TONNES
2010,1,AUSTRIA,171535.23,14972,54283.3
2010,1,BELGIUM,309092.82,11546,97814.18
2010,1,BULGARIA,34760.88,2177,11000.28
2010,1,CROATIA,12141.85,1956,3842.36
2010,1,CYPRUS,47704.34,1789,15096.31
2010,1,DENMARK,184601.73,12996,58418.27
2010,1,FINLAND,160290.69,10592,50724.9
2010,1,FRANCE,1467158.58,68257,464290.69
2010,1,GERMANY,2067437.03,80421,654252.22
2010,1,GREECE,142515.5,14377,45099.84
2010,1,HUNGARY,48575.84,3851,15372.1
2010,1,IRELAND,150363.83,8920,47583.49
2010,1,ITALY,899660.53,60178,284702.7
2010,1,LITHUANIA,12874.97,1414,4074.36
2010,1,LUXEMBOURG,89324.88,1916,28267.37
2010,1,MALTA,16447.51,909,5204.91
2010,1,NETHERLANDS,718585.19,18317,227400.38
2010,1,POLAND,107673.58,10530,34073.92
2010,1,PORTUGAL,226468.51,10881,71667.25
2010,1,ROMANIA,64663.55,6182,20463.15
2010,1,SLOVAKIA,9049.32,1291,2863.71
2010,1,SLOVENIA,7481.52,1308,2367.57
2010,1,SPAIN,940913.46,52687,297757.42
2010,1,SWEDEN,201565.85,18178,63786.66
2010,2,AUSTRIA,157908.07,14307,49970.91
2010,2,BELGIUM,296550.8,11404,93845.19
2010,2,BULGARIA,27457.12,1964,8688.96
2010,2,CROATIA,10904.56,1783,3450.81
2010,2,CYPRUS,43851.89,1620,13877.18
2010,2,DENMARK,176059.29,13106,55714.97
2010,2,FINLAND,149032.86,11028,47162.3
2010,2,FRANCE,1322141.96,65510,418399.35
2010,2,GERMANY,1894780.33,80004,599614.03
2010,2,GREECE,121075.5,12138,38315.03
2010,2,HUNGARY,44322.04,3662,14025.96
2010,2,IRELAND,134731.07,8518,42636.41
2010,2,ITALY,815751.94,57901,258149.35
2010,2,LITHUANIA,12228.33,1389,3869.72
2010,2,LUXEMBOURG,89562.61,1914,28342.6
2010,2,MALTA,14674.22,823,4643.74
2010,2,NETHERLANDS,652994.27,18106,206643.76
2010,2,POLAND,99531.67,10140,31497.36
2010,2,PORTUGAL,201179.89,9971,63664.52
2010,2,ROMANIA,59045.26,5854,18685.21
2010,2,SLOVAKIA,8202.34,1191,2595.68
2010,2,SLOVENIA,6999.29,1231,2214.96
2010,2,SPAIN,876956.53,52810,277517.89
2010,2,SWEDEN,198829.32,20050,62920.67
2010,3,AUSTRIA,178533.13,16547,56497.83
2010,3,BELGIUM,343344.38,13509,108653.28
2010,3,BULGARIA,30412.44,2201,9624.19
2010,3,CROATIA,14382.41,2186,4551.4
2010,3,CYPRUS,58812.4,2134,18611.52
2010,3,DENMARK,200271.0,15481,63376.9
2010,3,FINLAND,171467.11,12526,54261.74
2010,3,FRANCE,1556602.47,82478,492595.72
2010,3,GERMANY,2307261.06,98446,730145.9
2010,3,GREECE,147184.61,14730,46577.41
2010,3,HUNGARY,55853.24,4452,17675.08
2010,3,IRELAND,161997.3,9831,51264.97
2010,3,ITALY,954000.92,68340,301899.02
2010,3,LITHUANIA,16018.59,1684,5069.17
2010,3,LUXEMBOURG,100978.65,2279,31955.27
2010,3,MALTA,19354.71,1018,6124.91
2010,3,NETHERLANDS,747928.7,22367,236686.3
2010,3,POLAND,122098.84,12035,38638.88
2010,3,PORTUGAL,235014.08,11664,74371.54
2010,3,ROMANIA,67187.0,6948,21261.71
2010,3,SLOVAKIA,8732.43,1365,2763.43
2010,3,SLOVENIA,7967.11,1520,2521.24
2010,3,SPAIN,1030351.45,61548,326060.59
2010,3,SWEDEN,232268.7,23782,73502.75
2010,4,AUSTRIA,168227.28,14177,53236.48
2010,4,BELGIUM,284626.4,11033,90071.65
2010,4,BULGARIA,30851.69,2098,9763.19
2010,4,CROATIA,20387.3,2609,6451.68
2010,4,CYPRUS,67261.34,2340,21285.24
2010,4,DENMARK,160932.06,11709,50927.87
2010,4,FINLAND,123628.73,8811,39123.02
2010,4,FRANCE,1416960.0,72001,448405.06
2010,4,GERMANY,1964997.84,79768,621834.76
2010,4,GREECE,182136.14,16357,57638.02
2010,4,HUNGARY,51470.77,4107,16288.22
2010,4,IRELAND,130188.62,7747,41198.93
2010,4,ITALY,930763.92,65447,294545.54
2010,4,LITHUANIA,14250.39,1498,4509.62
2010,4,LUXEMBOURG,91674.93,1963,29011.05
2010,4,MALTA,24011.92,1274,7598.71
2010,4,NETHERLANDS,658222.88,19627,208298.38
2010,4,POLAND,110356.99,10028,34923.1
2010,4,PORTUGAL,261426.47,12398,82729.89
2010,4,ROMANIA,65804.33,6671,20824.15
2010,4,SLOVAKIA,8535.84,1177,2701.22
2010,4,SLOVENIA,6601.72,1082,2089.15
2010,4,SPAIN,1143950.2,64157,362009.56
2010,4,SWEDEN,178956.48,16803,56631.8
2010,5,AUSTRIA,199480.48,16877,63126.73
2010,5,BELGIUM,350393.69,14142,110884.08
2010,5,BULGARIA,44699.7,2930,14145.47
2010,5,CROATIA,36060.96,3958,11411.7
2010,5,CYPRUS,98539.36,3149,31183.34
2010,5,DENMARK,211545.85,15706,66944.89
2010,5,FINLAND,161189.12,12222,51009.22
2010,5,FRANCE,1681384.45,86887,532083.69
2010,5,GERMANY,2488474.25,104083,787491.85
2010,5,GREECE,323494.11,21055,102371.55
2010,5,HUNGARY,61226.89,4848,19375.6
2010,5,IRELAND,166328.38,9938,52635.56
2010,5,ITALY,1087672.13,77766,344200.04
2010,5,LITHUANIA,18205.29,1882,5761.17
2010,5,LUXEMBOURG,112354.69,2381,35555.28
2010,5,MALTA,29399.59,1558,9303.67
2010,5,NETHERLANDS,824625.39,24407,260957.4
2010,5,POLAND,146602.69,13077,46393.26
2010,5,PORTUGAL,280359.86,13445,88721.47
2010,5,ROMANIA,83608.66,7635,26458.44
2010,5,SLOVAKIA,10597.35,1452,3353.59
2010,5,SLOVENIA,10513.25,1677,3326.98
2010,5,SPAIN,1274947.2,72914,403464.3
2010,5,SWEDEN,236221.03,22799,74753.49
2010,6,AUSTRIA,200717.59,17435,63518.22
2010,6,BELGIUM,347029.79,14506,109819.55
2010,6,BULGARIA,71285.88,4283,22558.82
2010,6,CROATIA,46583.55,4521,14741.63
2010,6,CYPRUS,99553.16,3185,31504.16
2010,6,DENMARK,226060.68,16822,71538.19
2010,6,FINLAND,166824.04,12018,52792.42
2010,6,FRANCE,1686963.52,89888,533849.22
2010,6,GERMANY,2457469.22,106474,777680.13
