Year,Cost_S0_MEUR,Cost_S1_MEUR,Delta_Cost_MEUR,CO2_S0_Mt,CO2_S1_Mt,CO2_Reduced_Mt,MAC_EUR_per_tCO2
2026,28.466334,29.19955054,0.733216536,124.4546534,123.6978889,0.756764586,0.968883256
2027,29.33380058,31.17639185,1.842591261,126.2335936,124.1729707,2.060622871,0.894191405
2028,30.21049062,33.20733836,2.996847743,127.9805286,124.5614715,3.419057047,0.876512939
2029,31.11054669,35.30839646,4.197849767,129.755072,124.9207688,4.834303256,0.868346387
2030,32.03308248,37.47998612,5.446903638,131.5514669,125.2434663,6.308000668,0.863491291
2031,33.34784772,41.29974622,7.951898501,132.8216985,123.5505244,9.271174094,0.857701346
2032,34.69956438,45.26891909,10.5693547,134.09503,121.7202936,12.37473635,0.854107466
2033,36.08913829,49.39208065,13.30294236,135.3711677,119.7477424,15.62342536,0.85147412
2034,37.51749418,53.67392893,16.15643475,136.6497996,117.6276843,19.02211532,0.849350058
2035,38.98557801,58.11928932,19.13371131,137.9306019,115.3547812,22.57582074,0.84753115
2036,40.33294943,61.54102109,21.20807166,139.4532615,114.4303486,25.02291292,0.847546076
2037,41.7161949,65.07878904,23.36259414,140.9860472,113.4178859,27.56816136,0.847448397
2038,43.13616932,68.73587215,25.59970282,142.5288304,112.3142108,30.2146196,0.847262125
2039,44.59374678,72.51563364,27.92188685,144.0814743,111.1160494,32.96542492,0.847005216
2040,46.08982091,76.42152299,30.33170208,145.6438341,109.8200336,35.82380049,0.846691352
2041,47.62530533,80.45707805,32.83177272,147.2157564,108.4226989,38.79305751,0.846331143
2042,49.20113409,84.62592716,35.42479307,148.7970793,106.9204818,41.87659752,0.845932935
2043,50.81826209,88.93179132,38.11352923,150.3876319,105.3097173,45.07791459,0.845503382
2044,52.47766553,93.37848645,40.90082093,151.9872342,103.5866364,48.40059772,0.845047848
2045,54.18034237,97.96992567,43.7895833,153.5956965,101.7473633,51.84833323,0.844570704
2046,55.92731282,102.7101216,46.78280879,155.2128196,99.78791245,55.4249072,0.844075546
2047,57.71961977,107.6031888,49.88356907,156.8383942,97.70418625,59.13420796,0.843565354
2048,59.55832932,112.6533463,53.09501698,158.4722005,95.49197177,62.98022872,0.843042619
2049,61.44453126,117.8649198,56.42038856,160.1140082,93.14693801,66.96707016,0.842509437
2050,63.37933958,123.2423446,59.86300506,161.7635759,90.6646328,71.09894314,0.84196758
